date , open, high, low, close, volume, high%, low%, close%
94 2017-12-28 Thu , 21964000.0 , 22000000.0 , 18323000.0 , 19565000.0 , 45244.24799131 , 0.164% , -16.577% , -10.922%
95 2017-12-29 Fri , 19565000.0 , 19738000.0 , 18530000.0 , 19290000.0 , 37594.01226698 , 0.884% , -5.290% , -1.406%
96 2017-12-30 Sat , 19290000.0 , 19478000.0 , 17800000.0 , 18415000.0 , 42305.07850317 , 0.975% , -7.724% , -4.536%
97 2017-12-31 Sun , 18401000.0 , 19637000.0 , 18208000.0 , 19280000.0 , 29363.72193703 , 6.717% , -1.049% , 4.777%
98 2018-01-01 Mon , 19278000.0 , 19420000.0 , 18290000.0 , 18860000.0 , 27949.67613401 , 0.737% , -5.125% , -2.168%
99 2018-01-02 Tue , 18875000.0 , 21720000.0 , 18510000.0 , 20263000.0 , 41968.47300909 , 15.073% , -1.934% , 7.354%
100 2018-01-03 Wed , 20263000.0 , 21329000.0 , 19520000.0 , 20900000.0 , 43168.2576045 , 5.261% , -3.667% , 3.144%
101 2018-01-04 Thu , 20899000.0 , 23685000.0 , 19700000.0 , 23402000.0 , 45192.45174241 , 13.331% , -5.737% , 11.977%
102 2018-01-05 Fri , 23403000.0 , 28589000.0 , 22338000.0 , 27444000.0 , 56774.8498417 , 22.160% , -4.551% , 17.267%
103 2018-01-06 Sat , 27451000.0 , 28885000.0 , 23966000.0 , 26924000.0 , 48971.92813081 , 5.224% , -12.695% , -1.920%
104 2018-01-07 Sun , 26924000.0 , 27210000.0 , 24543000.0 , 25859000.0 , 31015.72258622 , 1.062% , -8.843% , -3.956%
105 2018-01-08 Mon , 25859000.0 , 26449000.0 , 23850000.0 , 25230000.0 , 44839.78332164 , 2.282% , -7.769% , -2.432%
106 2018-01-09 Tue , 25200000.0 , 25786000.0 , 22858000.0 , 24016000.0 , 41558.52968619 , 2.325% , -9.294% , -4.698%
107 2018-01-10 Wed , 24015000.0 , 24200000.0 , 19689000.0 , 21317000.0 , 43736.28693252 , 0.770% , -18.014% , -11.235%
108 2018-01-11 Thu , 21300000.0 , 21890000.0 , 14104000.0 , 19389000.0 , 61924.52562032 , 2.770% , -33.784% , -8.972%
109 2018-01-12 Fri , 19359000.0 , 21143000.0 , 18005000.0 , 20745000.0 , 43734.14210793 , 9.215% , -6.994% , 7.159%
110 2018-01-13 Sat , 20750000.0 , 21399000.0 , 19886000.0 , 21135000.0 , 30172.38452901 , 3.128% , -4.164% , 1.855%
111 2018-01-14 Sun , 21130000.0 , 21299000.0 , 18131000.0 , 19206000.0 , 30105.53009772 , 0.800% , -14.193% , -9.106%
112 2018-01-15 Mon , 19210000.0 , 20143000.0 , 18201000.0 , 19106000.0 , 29582.95249892 , 4.857% , -5.252% , -0.541%
113 2018-01-16 Tue , 19107000.0 , 19219000.0 , 11543000.0 , 14279000.0 , 59293.11406178 , 0.586% , -39.588% , -25.268%
114 2018-01-17 Wed , 14279000.0 , 15722000.0 , 11901000.0 , 14951000.0 , 60203.17701055 , 10.106% , -16.654% , 4.706%
115 2018-01-18 Thu , 14954000.0 , 16370000.0 , 13650000.0 , 14880000.0 , 44001.92022842 , 9.469% , -8.720% , -0.495%
116 2018-01-19 Fri , 14879000.0 , 15448000.0 , 14352000.0 , 15372000.0 , 27555.99477285 , 3.824% , -3.542% , 3.313%
117 2018-01-20 Sat , 15370000.0 , 17208000.0 , 15225000.0 , 16858000.0 , 51147.45641776 , 11.958% , -0.943% , 9.681%
118 2018-01-21 Sun , 16852000.0 , 16943000.0 , 13735000.0 , 14640000.0 , 44140.37058853 , 0.540% , -18.496% , -13.126%
119 2018-01-22 Mon , 14640000.0 , 14910000.0 , 12981000.0 , 13944000.0 , 30529.67525826 , 1.844% , -11.332% , -4.754%
120 2018-01-23 Tue , 13968000.0 , 14044000.0 , 12311000.0 , 13141000.0 , 28032.38238629 , 0.544% , -11.863% , -5.921%
121 2018-01-24 Wed , 13139000.0 , 13780000.0 , 12600000.0 , 13450000.0 , 24236.06233141 , 4.879% , -4.102% , 2.367%
122 2018-01-25 Thu , 13450000.0 , 13900000.0 , 12800000.0 , 12973000.0 , 18943.75635587 , 3.346% , -4.833% , -3.546%
123 2018-01-26 Fri , 12973000.0 , 13350000.0 , 11500000.0 , 12876000.0 , 30279.96147663 , 2.906% , -11.354% , -0.748%
124 2018-01-27 Sat , 12876000.0 , 13132000.0 , 12300000.0 , 12900000.0 , 18535.39984957 , 1.988% , -4.473% , 0.186%
125 2018-01-28 Sun , 12903000.0 , 13570000.0 , 12810000.0 , 13352000.0 , 20508.73672486 , 5.169% , -0.721% , 3.480%
126 2018-01-29 Mon , 13351000.0 , 13489000.0 , 12560000.0 , 12909000.0 , 15844.07278917 , 1.034% , -5.925% , -3.311%
127 2018-01-30 Tue , 12909000.0 , 12957000.0 , 11310000.0 , 11627000.0 , 21206.17024434 , 0.372% , -12.387% , -9.931%
128 2018-01-31 Wed , 11658000.0 , 11900000.0 , 10400000.0 , 11429000.0 , 23175.02109439 , 2.076% , -10.791% , -1.964%
129 2018-02-01 Thu , 11439000.0 , 11490000.0 , 10011000.0 , 10070000.0 , 22225.67551126 , 0.446% , -12.484% , -11.968%
130 2018-02-02 Fri , 10061000.0 , 10120000.0 , 7830000.0 , 9410000.0 , 52018.46095277 , 0.586% , -22.175% , -6.471%
131 2018-02-03 Sat , 9410000.0 , 10200000.0 , 8400000.0 , 9520000.0 , 25405.73722415 , 8.395% , -10.733% , 1.169%
132 2018-02-04 Sun , 9524000.0 , 10158000.0 , 8765000.0 , 8900000.0 , 18781.02389914 , 6.657% , -7.969% , -6.552%
133 2018-02-05 Mon , 8900000.0 , 9250000.0 , 7715000.0 , 7832000.0 , 20709.59917348 , 3.933% , -13.315% , -12.000%
134 2018-02-06 Tue , 7831000.0 , 8698000.0 , 6620000.0 , 8642000.0 , 44456.45172294 , 11.071% , -15.464% , 10.356%
135 2018-02-07 Wed , 8646000.0 , 9199000.0 , 7990000.0 , 8387000.0 , 33928.15634331 , 6.396% , -7.587% , -2.996%
136 2018-02-08 Thu , 8410000.0 , 9690000.0 , 8410000.0 , 9480000.0 , 38113.82546535 , 15.220% , 0.000% , 12.723%
137 2018-02-09 Fri , 9479000.0 , 9934000.0 , 9041000.0 , 9929000.0 , 29459.15309411 , 4.800% , -4.621% , 4.747%
138 2018-02-10 Sat , 9929000.0 , 10656000.0 , 9475000.0 , 9959000.0 , 33057.11964565 , 7.322% , -4.572% , 0.302%
139 2018-02-11 Sun , 9958000.0 , 10045000.0 , 9021000.0 , 9320000.0 , 17672.61615308 , 0.874% , -9.410% , -6.407%
140 2018-02-12 Mon , 9319000.0 , 10195000.0 , 9305000.0 , 10140000.0 , 14756.72285892 , 9.400% , -0.150% , 8.810%
141 2018-02-13 Tue , 10149000.0 , 10220000.0 , 9630000.0 , 9906000.0 , 13735.57073936 , 0.700% , -5.114% , -2.394%
142 2018-02-14 Wed , 9906000.0 , 10510000.0 , 9896000.0 , 10473000.0 , 17264.67105928 , 6.097% , -0.101% , 5.724%
143 2018-02-15 Thu , 10473000.0 , 11459000.0 , 10355000.0 , 11357000.0 , 26678.52011813 , 9.415% , -1.127% , 8.441%
144 2018-02-16 Fri , 11357000.0 , 11800000.0 , 11151000.0 , 11462000.0 , 20284.75192278 , 3.901% , -1.814% , 0.925%
